Day ,Date ,Infected ,Exposed ,Severe  Infected ,Quarantined ,Immunized ,Susceptible ,Dead ,Isolated ,Initial  Exposed ,Susceptible  to  Exposed  transition  constant ,Daily  Quarantine  rate  of  the  Exposed ,Daily  Infected  to  Severe  Infected  transition  rate ,Hospital  Capacity ,Severe  Infected  to  Dead  transition  probability ,Severe  Infected  to  Dead  transition  probability  (Hospital  Cap.  Exceeded) ,Infected  to  Recovery  Immunized  transition  probability ,Disease  transmission  rate  of  Exposed  compared  to  Infected ,Disease  transmission  rate  of  Quarantined  compared  to  Infected ,Disease  transmission  rate  of  Severe  Infected  compared  to  Infected ,Incubation  period  (Days) ,Infection    period  (Days) ,Leakage  ratio ,Traffic  ratio ,Airway ,Railway ,Highway
1,2020-03-01,0.0,0.0,0.0,0.0,0.0,1378500.0,0.0,0.0,0.0,30.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
2,2020-03-02,0.0,0.0,0.0,0.0,0.0,1378496.0,0.0,0.0,0.0,30.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
3,2020-03-03,0.0,0.0,0.0,0.0,0.0,1378492.0,0.0,0.0,0.0,30.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
4,2020-03-04,0.0,0.0,0.0,0.0,0.0,1378488.0,0.0,0.0,0.0,30.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
5,2020-03-05,0.0,0.0,0.0,0.0,0.0,1378484.0,0.0,0.0,0.0,30.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
6,2020-03-06,0.0,0.0,0.0,0.0,0.0,1378480.0,0.0,0.0,0.0,30.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
7,2020-03-07,0.0,0.0,0.0,0.0,0.0,1378476.0,0.0,0.0,0.0,30.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
8,2020-03-08,0.0,0.0,0.0,0.0,0.0,1378472.0,0.0,0.0,0.0,30.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
9,2020-03-09,0.0,0.0,0.0,0.0,0.0,1378468.0,0.0,0.0,0.0,30.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
10,2020-03-10,0.0,0.0,0.0,0.0,0.0,1378464.0,0.0,0.0,0.0,30.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
11,2020-03-11,0.0,0.0,0.0,0.0,0.0,1378460.0,0.0,0.0,0.0,30.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
12,2020-03-12,0.0,0.0,0.0,0.0,0.0,1378456.0,0.0,0.0,0.0,30.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
13,2020-03-13,0.0,0.0,0.0,0.0,0.0,1378452.0,0.0,0.0,0.0,25.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
14,2020-03-14,0.0,0.0,0.0,0.0,0.0,1378448.0,0.0,0.0,0.0,25.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
15,2020-03-15,0.0,0.0,0.0,0.0,0.0,1378442.0,0.0,0.0,0.0,25.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
16,2020-03-16,0.0,0.0,0.0,0.0,0.0,1378436.0,0.0,0.0,0.0,25.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
17,2020-03-17,0.0,0.0,0.0,0.0,0.0,1378430.0,0.0,0.0,0.0,25.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
18,2020-03-18,0.0,0.0,0.0,0.0,0.0,1378424.0,0.0,0.0,0.0,25.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
19,2020-03-19,0.0,0.0,0.0,0.0,0.0,1378422.0,0.0,0.0,0.0,20.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,1.0,1.0,1.0,1.0
20,2020-03-20,0.0,0.0,0.0,0.0,0.0,1378420.0,0.0,0.0,0.0,20.0,2.0,1.25,1420.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,1.0,1.0,1.0,1.0
